County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
Orleans,2012,904,281,53,47,30,151,623,28,130,205,260
Oswego,2012,3214,1010,102,215,48,645,2204,171,350,804,879
Otsego,2012,1624,428,81,79,40,228,1196,99,283,372,442
Putnam,2012,1524,379,109,45,56,169,1145,256,398,159,332
Queens,2012,56659,17901,2341,5807,245,9508,38758,9449,2493,11304,15512
Rensselaer,2012,3736,1271,184,294,91,702,2465,223,463,718,1061
Richmond,2012,11394,3394,650,1050,25,1669,8000,2702,454,1859,2985
Rockland,2012,4112,1319,201,315,116,687,2793,280,604,871,1038
Saratoga,2012,3748,983,127,167,108,581,2765,257,723,756,1029
Schenectady,2012,4657,1413,156,370,59,828,3244,181,296,1177,1590
Schoharie,2012,612,180,20,44,15,101,432,42,113,115,162
Schuyler,2012,402,78,9,20,12,37,324,11,81,86,146
Seneca,2012,864,282,35,59,30,158,582,41,135,179,227
Steuben,2012,1960,663,107,134,71,351,1297,77,271,398,551
St. Lawrence,2012,2715,733,118,137,59,419,1982,121,422,597,842
Suffolk,2012,26226,6005,727,1313,615,3350,20221,5314,3944,5105,5858
Sullivan,2012,2359,697,76,201,66,354,1662,332,259,565,506
Tioga,2012,715,176,22,29,30,95,539,50,97,133,259
Tompkins,2012,1775,389,25,80,49,235,1386,87,376,544,379
Ulster,2012,4892,1252,289,220,129,614,3640,508,777,940,1415
Unknown-NonNYS,2012,110,82,17,29,0,36,28,1,4,13,10
Warren,2012,2038,519,84,96,69,270,1519,92,338,554,535
Washington,2012,1316,371,48,65,33,225,945,54,217,219,455
Wayne,2012,1698,499,62,93,63,281,1199,67,198,396,538
Westchester,2012,17001,5103,1278,1402,234,2189,11898,2676,1734,3336,4152
Wyoming,2012,838,279,49,42,40,148,559,39,147,123,250
Yates,2012,448,125,14,14,20,77,323,14,92,67,150
Albany,2011,8744,2712,460,596,152,1504,6032,822,1004,2141,2065
Allegany,2011,1158,314,57,59,32,166,844,35,184,240,385
Bronx,2011,84060,20000,7104,6406,74,6416,64060,22755,1024,18693,21588
Broome,2011,5671,1572,190,409,100,873,4099,362,510,1643,1584
Cattaraugus,2011,2082,565,87,126,94,258,1517,68,351,481,617
Cayuga,2011,1597,480,74,95,31,280,1117,65,185,406,461
Chautauqua,2011,3771,911,130,196,106,479,2860,188,601,767,1304
Chemung,2011,2329,530,63,104,72,291,1799,134,312,688,665
Chenango,2011,1131,330,22,71,35,202,801,63,176,244,318
Clinton,2011,2153,623,79,143,64,337,1530,120,383,504,523
Columbia,2011,1413,415,52,98,59,206,998,103,230,229,436
Cortland,2011,1554,413,49,102,42,220,1141,74,275,351,441
Delaware,2011,969,240,28,72,26,114,729,67,174,174,314
Dutchess,2011,5708,1544,206,331,180,827,4164,484,1084,1162,1434
Erie,2011,27259,8421,1313,2474,522,4112,18838,3327,2486,6258,6767
Essex,2011,764,228,40,45,25,118,536,36,153,165,182
Franklin,2011,1372,384,68,49,38,229,988,64,234,242,448
Fulton,2011,1148,313,30,45,50,188,835,60,179,271,325
Genesee,2011,1473,427,61,73,55,238,1046,81,263,332,370
Greene,2011,1470,411,54,79,53,225,1059,113,354,239,353
Hamilton,2011,80,15,2,1,5,7,65,4,32,12,17
Herkimer,2011,1325,300,31,68,43,158,1025,68,237,313,407
Jefferson,2011,3132,717,116,152,55,394,2415,102,543,865,905
Kings,2011,95624,27360,5841,9284,143,12092,68264,27783,1595,18839,20047
Lewis,2011,393,121,12,26,18,65,272,11,70,85,106
Livingston,2011,1069,233,26,37,57,113,836,68,248,164,356
Madison,2011,1202,242,33,43,19,147,960,66,239,271,384
Monroe,2011,19264,5181,694,1415,477,2595,14083,1085,2359,5416,5223
Montgomery,2011,1304,383,74,70,51,188,921,89,199,240,393
Nassau,2011,17521,5655,704,1576,306,3069,11866,1584,2171,4327,3784
New York,2011,86225,20098,4980,4823,94,10201,66127,18770,1711,29795,15851
Niagara,2011,5780,1698,222,472,120,884,4082,399,707,1164,1812
Oneida,2011,5536,1235,244,309,60,622,4301,444,711,1531,1615
Onondaga,2011,11872,3971,497,1209,218,2047,7901,917,1441,2953,2590
Ontario,2011,2173,623,73,115,86,349,1550,75,289,589,597
Orange,2011,9103,2331,367,587,200,1177,6772,944,1116,2520,2192
Orleans,2011,857,248,47,64,22,115,609,43,107,214,245
Oswego,2011,3177,890,94,205,91,500,2287,187,472,728,900
Otsego,2011,1547,427,76,83,44,224,1120,91,291,335,403
Putnam,2011,1564,375,100,67,43,165,1189,190,452,178,369
Queens,2011,58331,17336,2406,5791,218,8921,40995,11376,2484,11493,15642
Rensselaer,2011,3494,1099,168,257,79,595,2395,214,426,786,969
Richmond,2011,12073,3536,783,1064,20,1669,8537,3323,497,1773,2944
Rockland,2011,4411,1420,275,370,111,664,2991,254,630,916,1191
Saratoga,2011,3566,898,101,164,111,522,2668,198,597,779,1094
Schenectady,2011,4382,1298,160,332,71,735,3084,171,440,1037,1436
Schoharie,2011,583,137,18,27,17,75,446,36,131,103,176
Schuyler,2011,387,118,28,18,18,54,269,12,72,58,127
Seneca,2011,823,243,27,45,28,143,580,36,108,180,256
Steuben,2011,1827,558,77,127,91,263,1269,77,313,359,520
St. Lawrence,2011,2848,782,151,144,72,415,2066,141,423,589,913
Suffolk,2011,26018,6248,923,1293,603,3429,19770,4723,3920,5203,5924
Sullivan,2011,2463,697,95,160,68,374,1766,306,337,540,583
Tioga,2011,815,207,25,41,39,102,608,56,131,144,277
Tompkins,2011,1604,368,32,79,46,211,1236,87,256,467,426
Ulster,2011,5070,1256,152,263,155,686,3814,433,970,998,1413
Unknown-NonNYS,2011,131,98,16,26,1,55,33,3,6,10,14
Warren,2011,2066,525,72,106,51,296,1541,132,301,486,622
Washington,2011,1234,319,32,57,43,187,915,57,212,176,470
Wayne,2011,1849,553,50,131,93,279,1296,97,273,366,560
Westchester,2011,17311,5380,1219,1486,278,2397,11931,2382,1695,3516,4338
Wyoming,2011,781,263,36,49,33,145,518,41,128,95,254
Yates,2011,462,132,27,22,17,66,330,12,74,72,172
Albany,2010,9236,2866,512,614,176,1564,6370,800,1149,2209,2212
Allegany,2010,1234,332,56,78,44,154,902,48,229,230,395
Bronx,2010,87702,21139,7669,6758,73,6639,66563,23976,1217,20579,20791
Broome,2010,5399,1439,218,342,131,748,3960,330,586,1500,1544
Cattaraugus,2010,1950,482,45,124,84,229,1468,70,306,479,613
Cayuga,2010,1585,431,78,69,37,247,1154,81,194,409,470
Chautauqua,2010,3795,924,170,224,104,426,2871,187,626,750,1308
Chemung,2010,2211,558,85,112,87,274,1653,119,334,568,632
Chenango,2010,1105,285,25,47,34,179,820,54,182,234,350
Clinton,2010,2053,556,119,101,63,273,1497,88,369,501,539
Columbia,2010,1541,364,28,98,63,175,1177,105,344,240,488
Cortland,2010,1269,349,34,93,39,183,920,54,222,268,376
Delaware,2010,1045,238,24,51,36,127,807,61,185,208,353
Dutchess,2010,5999,1765,200,433,243,889,4234,432,1263,1196,1343
Erie,2010,27307,8487,1424,2543,576,3944,18820,3489,2514,5873,6944
Essex,2010,892,233,37,39,26,131,659,36,207,150,266
Franklin,2010,1325,384,78,71,43,192,941,52,221,217,451
Fulton,2010,1280,387,42,85,44,216,893,36,220,267,370
Genesee,2010,1429,326,33,57,56,180,1103,82,308,315,398
Greene,2010,1476,421,57,94,67,203,1055,102,374,219,360
Hamilton,2010,95,19,3,2,4,10,76,7,37,10,22
Herkimer,2010,1307,277,27,55,45,150,1030,51,271,299,409
Jefferson,2010,3051,755,112,162,95,386,2296,113,526,748,909
Kings,2010,95477,26874,5931,8734,159,12050,68603,27772,1920,18662,20249
Lewis,2010,410,128,12,18,14,84,282,6,106,60,110
Livingston,2010,1203,285,48,32,64,141,918,92,247,220,359
Madison,2010,1226,265,20,44,43,158,961,70,279,261,351
Monroe,2010,19175,5206,786,1509,448,2463,13969,1151,2193,5500,5125
Montgomery,2010,1180,353,51,71,45,186,827,43,209,223,352
Nassau,2010,18979,6206,982,1514,327,3383,12773,1703,2631,4373,4066
New York,2010,87175,21981,5707,4760,137,11377,65194,17785,2016,29128,16265
Niagara,2010,6223,1855,214,556,166,919,4368,474,835,1212,1847
Oneida,2010,5734,1328,221,332,64,711,4406,450,794,1556,1606
Onondaga,2010,11321,3852,518,1105,228,2001,7469,905,1429,2750,2385
Ontario,2010,2325,616,109,115,71,321,1709,107,376,569,657
Orange,2010,9904,2451,441,577,263,1170,7453,1151,1358,2631,2313
Orleans,2010,929,335,81,72,42,140,594,40,152,170,232
Oswego,2010,2893,766,53,182,90,441,2127,104,467,685,871
Otsego,2010,1679,464,74,83,67,240,1215,89,358,321,447
Putnam,2010,1651,375,93,69,56,157,1276,185,442,213,436
Queens,2010,59257,17664,2513,5577,242,9332,41593,11184,2665,11349,16395
Rensselaer,2010,3751,1143,153,265,101,624,2608,182,575,755,1096
Richmond,2010,11952,3606,892,945,14,1755,8346,2963,407,1916,3060
Rockland,2010,4736,1402,262,282,130,728,3334,288,820,1014,1212
Saratoga,2010,3960,945,119,173,148,505,3015,250,737,928,1100
Schenectady,2010,4517,1397,212,383,80,722,3120,182,362,1043,1533
Schoharie,2010,650,147,26,26,24,71,503,46,162,117,178
Schuyler,2010,377,102,10,10,17,65,275,10,68,59,138
Seneca,2010,750,196,14,36,31,115,554,28,106,132,288
Steuben,2010,1911,535,67,124,78,266,1376,93,307,421,555
St. Lawrence,2010,2548,720,110,165,74,371,1828,96,408,557,767
Suffolk,2010,25514,6293,904,1384,582,3423,19221,4391,3473,5356,6001
Sullivan,2010,2522,726,66,184,88,388,1796,242,433,473,648
Tioga,2010,896,250,29,59,26,136,646,46,159,129,312
Tompkins,2010,1613,348,26,87,47,188,1265,67,289,493,416
Ulster,2010,5466,1319,186,274,164,695,4147,436,1146,1146,1419
Unknown-NonNYS,2010,153,105,15,36,1,53,48,3,8,12,25
Warren,2010,2275,565,62,98,75,330,1710,122,356,536,696
Washington,2010,1366,389,50,93,38,208,977,48,229,195,505
Wayne,2010,1901,523,59,124,82,258,1378,97,271,342,668
Westchester,2010,17215,5298,1185,1403,294,2416,11917,2174,2031,3392,4320
Wyoming,2010,745,262,59,32,40,131,483,36,138,80,229
Yates,2010,441,119,8,24,18,69,322,15,73,80,154
Albany,2009,9487,2928,565,681,156,1526,6559,891,1279,2056,2333
Allegany,2009,1252,336,49,53,55,179,916,25,231,189,471
Bronx,2009,88010,22396,9018,6329,104,6945,65614,24411,1276,20099,19828
Broome,2009,5556,1541,229,360,135,817,4015,329,609,1604,1473
Cattaraugus,2009,1998,501,71,107,82,241,1497,76,359,404,658
Cayuga,2009,1555,453,82,121,25,225,1102,53,193,398,458
Chautauqua,2009,3881,919,171,202,130,416,2962,154,689,727,1392
Chemung,2009,2447,563,89,119,82,273,1884,113,413,663,695
Chenango,2009,1167,266,43,48,26,149,901,43,213,261,384
Clinton,2009,2002,548,97,123,51,277,1454,73,405,451,525
Columbia,2009,1488,401,31,96,62,212,1087,122,265,276,424
Cortland,2009,1359,396,41,97,32,226,963,29,264,262,408
Delaware,2009,1053,250,29,45,39,137,803,37,231,175,360
Dutchess,2009,5995,1582,178,377,191,836,4413,357,1258,1330,1468
Erie,2009,27845,8617,1496,2594,457,4070,19228,3492,2768,5699,7269
Essex,2009,827,218,30,39,31,118,609,27,177,129,276
Franklin,2009,1340,380,75,65,42,198,960,51,233,215,461
Fulton,2009,1372,348,43,65,34,206,1024,29,281,290,424
Genesee,2009,1619,441,51,86,70,234,1178,68,373,349,388
Greene,2009,1593,410,65,65,62,218,1183,107,363,278,435
Hamilton,2009,58,8,1,1,5,1,50,6,30,9,5
Herkimer,2009,1318,262,16,75,41,130,1056,45,271,302,438
Jefferson,2009,3158,743,109,143,62,429,2415,124,617,766,908
Kings,2009,95391,27819,6869,9003,188,11759,67572,27648,2138,17494,20292
Lewis,2009,443,119,14,23,15,67,324,16,108,52,148
Livingston,2009,1186,255,38,43,58,116,931,65,216,189,461
Madison,2009,1345,272,15,62,17,178,1073,60,297,310,406
Monroe,2009,18242,4873,718,1381,444,2330,13369,1198,2065,5215,4891
Montgomery,2009,1145,301,66,60,25,150,844,39,178,253,374
Nassau,2009,18869,6176,942,1672,268,3294,12693,1717,2796,4317,3863
New York,2009,87567,23930,6238,5152,162,12378,63637,17876,2043,27502,16216
Niagara,2009,6415,1827,251,552,166,858,4588,479,930,1100,2079
Oneida,2009,6179,1348,244,319,63,722,4831,382,942,1745,1762
Onondaga,2009,11923,3810,507,1199,185,1919,8113,869,1742,2904,2598
Ontario,2009,2321,635,150,117,80,288,1686,117,315,587,667
Orange,2009,10026,2460,463,627,196,1174,7566,1145,1289,2726,2406
Orleans,2009,877,302,59,66,28,149,575,33,123,170,249
Oswego,2009,2996,764,85,167,86,426,2232,94,618,684,836
Otsego,2009,1542,429,57,94,53,225,1113,83,372,300,358
Putnam,2009,1565,356,80,80,51,145,1209,134,494,187,394
Queens,2009,57239,17192,2678,5573,252,8689,40047,10468,2922,10506,16151
Rensselaer,2009,3602,1087,169,296,56,566,2515,217,492,665,1141
Richmond,2009,11577,3730,1077,976,13,1664,7847,2655,426,1790,2976
Rockland,2009,4819,1473,303,326,130,714,3346,297,780,1036,1233
Saratoga,2009,4108,943,104,201,127,511,3165,221,923,795,1226
Schenectady,2009,4260,1191,183,292,73,643,3069,166,347,1016,1540
Schoharie,2009,755,154,11,26,26,91,601,37,192,166,206
Schuyler,2009,361,113,22,25,25,41,248,11,74,48,115
Seneca,2009,811,201,18,34,28,121,610,26,153,121,310
Steuben,2009,1936,547,84,103,66,294,1389,70,312,404,603
St. Lawrence,2009,2628,769,114,171,73,411,1859,80,528,470,781
Suffolk,2009,25523,6785,965,1581,543,3696,18738,3513,3818,5364,6043
Sullivan,2009,2196,635,68,191,79,297,1561,189,362,341,669
Tioga,2009,876,233,15,53,44,121,643,31,163,148,301
Tompkins,2009,1657,379,35,95,44,205,1278,62,302,480,434
Ulster,2009,5136,1228,176,250,153,649,3908,372,1093,942,1501
Unknown-NonNYS,2009,115,62,7,20,0,35,53,3,6,15,29
Warren,2009,2327,565,89,87,71,318,1762,105,412,512,733
Washington,2009,1359,351,34,54,44,219,1008,41,239,184,544
Wayne,2009,2038,586,93,123,77,293,1452,89,322,369,672
Westchester,2009,17962,5337,1045,1563,241,2488,12625,2303,2302,3662,4358
Wyoming,2009,718,192,20,39,33,100,526,22,181,99,224
Yates,2009,421,105,13,11,25,56,316,14,88,68,146
Albany,2008,9629,2947,511,655,135,1646,6682,857,1266,2137,2422
Allegany,2008,1251,289,25,88,41,135,962,26,259,216,461
Bronx,2008,85086,22905,9385,6559,133,6828,62181,25107,1301,17778,17995
Broome,2008,5628,1554,278,381,97,798,4074,308,582,1644,1540
Cattaraugus,2008,2184,553,55,116,77,305,1631,68,360,444,759
Cayuga,2008,1509,484,69,125,35,255,1025,33,183,373,436
Chautauqua,2008,3949,1008,214,204,128,462,2941,156,723,712,1350
Chemung,2008,2401,610,74,141,95,300,1791,98,345,629,719
Chenango,2008,1055,209,14,37,22,136,846,38,203,232,373
Clinton,2008,2152,600,97,137,63,303,1552,65,432,423,632
Columbia,2008,1534,418,51,99,38,230,1116,122,240,286,468
Cortland,2008,1283,311,27,67,38,179,972,26,240,240,466
Delaware,2008,1132,299,43,55,39,162,833,37,238,210,348
Dutchess,2008,5957,1666,173,368,227,898,4291,335,1407,1188,1361
Erie,2008,27864,8671,1733,2531,504,3903,19193,3850,2781,5624,6938
Essex,2008,969,231,24,41,47,119,738,27,240,119,352
Franklin,2008,1375,397,84,56,39,218,978,59,251,247,421
Fulton,2008,1298,356,46,55,32,223,942,34,244,244,420
Genesee,2008,1455,397,25,90,66,216,1058,75,318,300,365
Greene,2008,1491,410,41,69,39,261,1081,121,340,238,382
Hamilton,2008,67,17,1,4,3,9,50,4,22,7,17
Herkimer,2008,1403,352,32,101,44,175,1051,34,295,278,444
Jefferson,2008,2893,663,96,137,66,364,2230,101,532,643,954
Kings,2008,91805,30193,8114,9659,201,12219,61612,24363,2188,15010,20051
Lewis,2008,426,147,22,26,19,80,279,15,79,50,135
Livingston,2008,1245,276,13,51,41,171,969,40,273,253,403
Madison,2008,1438,362,23,81,16,242,1076,47,327,321,381
Monroe,2008,17827,4979,888,1431,481,2179,12848,1242,2171,4655,4780
Montgomery,2008,1128,268,26,54,42,146,860,46,201,253,360
Nassau,2008,18177,6037,972,1595,340,3130,12140,1729,3078,3803,3530
New York,2008,86620,25107,7178,5268,148,12513,61513,16833,2148,26014,16518
Niagara,2008,6332,1816,230,513,166,907,4516,518,982,1114,1902
Oneida,2008,5926,1415,274,339,70,732,4511,365,954,1492,1700
Onondaga,2008,11808,3946,615,1137,207,1987,7862,910,1546,2828,2578
Ontario,2008,2333,672,107,111,88,366,1661,130,366,522,643
Orange,2008,9380,2541,499,602,226,1214,6839,994,1316,2203,2326
Orleans,2008,809,241,50,58,15,118,568,40,134,122,272
Oswego,2008,2942,802,99,163,83,457,2140,105,610,621,804
Otsego,2008,1419,447,64,81,54,248,972,49,299,283,341
Putnam,2008,1714,434,98,87,40,209,1280,108,553,181,438
Queens,2008,56755,17809,2988,5725,284,8812,38946,10519,2848,10357,15222
Rensselaer,2008,3463,1036,152,262,71,551,2427,137,460,577,1253
Richmond,2008,13003,3836,1095,1079,10,1652,9167,3486,449,2073,3159
Rockland,2008,4924,1635,310,383,126,816,3289,337,759,899,1294
Saratoga,2008,3789,913,122,184,135,472,2876,191,780,757,1148
Schenectady,2008,4072,1213,172,329,63,649,2859,149,404,948,1358
Schoharie,2008,717,155,9,22,21,103,562,19,215,116,212
Schuyler,2008,346,85,5,9,31,40,261,14,69,56,122
Seneca,2008,832,246,24,43,33,146,586,20,138,174,254
Steuben,2008,2129,608,56,111,86,355,1521,54,413,351,703
St. Lawrence,2008,2682,743,123,150,66,404,1939,91,502,447,899
Suffolk,2008,25159,6646,1022,1496,510,3618,18513,3790,3857,4795,6071
Sullivan,2008,2288,709,96,161,62,390,1579,206,330,380,663
Tioga,2008,842,227,13,52,33,129,615,18,146,144,307
Tompkins,2008,1729,415,36,111,61,207,1314,64,321,402,527
Ulster,2008,4890,1262,201,276,161,624,3628,407,1083,753,1385
Unknown-NonNYS,2008,106,65,5,28,3,29,41,1,8,8,24
Warren,2008,2369,605,103,108,77,317,1764,136,458,465,705
Washington,2008,1368,350,26,75,40,209,1018,38,241,224,515
Wayne,2008,2062,587,75,113,98,301,1475,97,309,370,699
Westchester,2008,18627,5631,1119,1491,230,2791,12996,2321,2489,3537,4649
Wyoming,2008,814,256,42,47,34,133,558,19,162,100,277
Yates,2008,377,121,14,18,21,68,256,17,44,43,152
Albany,2007,10550,3187,708,702,163,1614,7363,1176,1365,2003,2819
Allegany,2007,1213,286,49,57,54,126,927,27,233,181,486
Bronx,2007,86211,23845,9661,6669,173,7342,62366,24965,1240,17743,18418
Broome,2007,5596,1654,334,374,128,818,3942,309,606,1534,1493
Cattaraugus,2007,2208,494,38,112,83,261,1714,105,417,405,787
Cayuga,2007,1483,406,66,79,27,234,1077,51,162,378,486
Chautauqua,2007,3738,1037,202,208,137,490,2701,136,576,631,1358
Chemung,2007,2401,586,65,127,93,301,1815,155,372,567,721
Chenango,2007,1114,234,17,48,31,138,880,30,216,254,380
Clinton,2007,2125,610,79,131,74,326,1515,50,369,455,641
Columbia,2007,1505,364,41,95,46,182,1141,136,273,258,474
Cortland,2007,1297,317,57,43,32,185,980,24,254,272,430
Delaware,2007,1129,257,25,40,31,161,872,35,252,182,403
Dutchess,2007,5730,1499,166,306,208,819,4231,306,1448,1074,1403
Erie,2007,27071,8582,1930,2429,490,3733,18489,3564,2558,5482,6885
Essex,2007,1012,236,26,36,41,133,776,44,276,136,320
Franklin,2007,1290,357,85,49,33,190,933,45,240,212,436
Fulton,2007,1275,303,40,70,33,160,972,33,282,244,413
Genesee,2007,1349,371,39,63,70,199,978,58,304,260,356
Greene,2007,1401,404,53,64,47,240,997,89,317,210,381
Hamilton,2007,90,21,7,1,2,11,69,4,21,17,27
Herkimer,2007,1483,322,23,65,52,182,1161,52,360,251,498
Jefferson,2007,2726,637,84,130,63,360,2089,101,571,569,848
Kings,2007,92595,30810,9254,9259,233,12064,61785,26712,2140,12527,20406
Lewis,2007,446,153,30,41,12,70,293,16,89,45,143
Livingston,2007,1419,305,22,55,41,187,1114,47,308,283,476
Madison,2007,1334,305,34,60,16,195,1029,50,331,245,403
Monroe,2007,16575,4692,846,1303,431,2112,11883,994,2026,4454,4409
Montgomery,2007,1159,317,58,58,33,168,842,36,209,216,381
Nassau,2007,17622,5952,1007,1541,280,3124,11670,1716,2973,3429,3552
New York,2007,88154,26169,7589,5569,208,12803,61985,17502,2213,24842,17428
Niagara,2007,5977,1716,265,436,160,855,4261,409,900,1022,1930
Oneida,2007,5865,1410,288,295,61,766,4455,413,893,1421,1728
Onondaga,2007,11805,4032,669,1129,191,2043,7773,907,1522,2725,2619
Ontario,2007,2199,538,58,85,77,318,1661,94,320,533,714
Orange,2007,9746,2734,565,584,234,1351,7012,999,1541,1958,2514
Orleans,2007,846,267,77,56,30,104,579,44,120,129,286
Oswego,2007,2419,694,63,167,71,393,1725,72,453,500,700
Otsego,2007,1353,430,49,81,46,254,923,37,301,197,388
Putnam,2007,1444,340,76,70,26,168,1104,110,392,170,432
Queens,2007,56276,18457,3524,5640,327,8966,37819,10004,2933,9803,15079
Rensselaer,2007,3593,1092,194,269,65,564,2501,166,579,503,1253
Richmond,2007,10672,3568,1147,903,15,1503,7104,2176,543,1447,2938
Rockland,2007,4776,1568,355,361,130,722,3208,306,904,779,1219
Saratoga,2007,3915,923,90,181,129,523,2992,170,905,787,1130
Schenectady,2007,4044,1219,260,277,73,609,2825,181,473,856,1315
Schoharie,2007,609,146,11,21,32,82,463,19,139,105,200
Schuyler,2007,380,108,8,19,35,46,272,7,80,43,142
Seneca,2007,736,158,17,29,28,84,578,30,112,144,292
Steuben,2007,2279,664,99,125,103,337,1615,50,481,322,762
St. Lawrence,2007,2727,693,148,107,65,373,2034,74,483,485,992
Suffolk,2007,25254,7327,1433,1594,524,3776,17927,4088,4149,3167,6523
Sullivan,2007,2406,738,115,170,74,379,1668,222,305,383,758
Tioga,2007,857,226,14,56,34,122,631,34,156,146,295
Tompkins,2007,1624,390,40,72,58,220,1234,67,287,395,485
Ulster,2007,4788,1181,243,262,143,533,3607,441,1087,709,1370
Unknown-NonNYS,2007,104,68,11,19,1,37,36,1,3,16,16
Warren,2007,2360,561,50,92,87,332,1799,107,600,393,699
Washington,2007,1360,328,29,81,37,181,1032,28,217,198,589
Wayne,2007,1905,491,92,101,68,230,1414,90,307,328,689
Westchester,2007,18930,5642,1286,1464,214,2678,13288,2470,2474,3663,4681
Wyoming,2007,740,228,41,40,37,110,512,18,139,82,273
Yates,2007,416,102,8,13,12,69,314,12,72,72,158
Albany,2006,11538,3548,870,729,149,1800,7990,1326,1532,1931,3201
Allegany,2006,1170,285,47,61,44,133,885,29,261,183,412
Bronx,2006,74803,21058,8322,6093,159,6484,53745,20507,943,15217,17078
Broome,2006,5599,1684,397,406,137,744,3915,298,574,1428,1615
Cattaraugus,2006,2194,510,76,123,64,247,1684,86,371,387,840
Cayuga,2006,1518,459,62,120,30,247,1059,30,215,316,498
Chautauqua,2006,3730,1033,222,204,118,489,2697,156,639,591,1311
Chemung,2006,2395,630,88,140,80,322,1765,134,357,590,684
Chenango,2006,1188,283,13,57,37,176,905,39,239,249,378
Clinton,2006,2148,559,80,98,55,326,1589,58,433,431,667
Columbia,2006,1407,373,71,89,45,168,1034,168,196,234,436
Cortland,2006,1202,313,30,75,26,182,889,27,211,231,420
Delaware,2006,1075,239,22,61,26,130,836,19,251,177,389
Dutchess,2006,5651,1587,231,375,178,803,4064,353,1305,947,1459
Erie,2006,27516,8532,1577,2705,541,3709,18984,3651,2782,5339,7212
Essex,2006,1142,283,60,32,32,159,859,63,367,128,301
Franklin,2006,1309,376,53,61,47,215,933,37,237,193,466
Fulton,2006,1312,353,37,43,54,219,959,24,269,240,426
Genesee,2006,1459,391,38,78,85,190,1068,76,352,246,394
Greene,2006,1349,400,42,89,41,228,949,93,289,213,354
Hamilton,2006,93,19,8,2,1,8,74,11,19,19,25
Herkimer,2006,1428,334,48,82,41,163,1094,52,377,223,442
Jefferson,2006,2838,719,89,153,56,421,2119,84,545,567,923
Kings,2006,85223,29265,8641,9312,179,11133,55958,22328,2034,12165,19431
Lewis,2006,463,126,28,14,13,71,337,21,94,72,150
Livingston,2006,1398,277,25,56,62,134,1121,37,355,278,451
Madison,2006,1258,293,17,84,25,167,965,43,282,264,376
Monroe,2006,16961,4742,860,1400,438,2044,12219,1001,1970,4590,4658
Montgomery,2006,1196,321,47,60,29,185,875,48,193,221,413
Nassau,2006,18043,6187,951,1610,274,3352,11856,1649,2957,3500,3750
New York,2006,79995,25440,7348,5576,172,12344,54555,15546,1450,21498,16061
Niagara,2006,6162,1783,325,505,141,812,4379,421,946,976,2036
Oneida,2006,5669,1261,249,321,63,628,4408,486,924,1193,1805
Onondaga,2006,11726,4135,711,1162,167,2095,7591,784,1482,2653,2672
Ontario,2006,2300,650,110,136,76,328,1650,101,327,488,734
Orange,2006,9866,2833,684,621,220,1308,7033,1174,1564,1975,2320
Orleans,2006,939,296,57,70,34,135,643,43,154,145,301
Oswego,2006,2532,718,72,152,80,414,1814,55,501,464,794
Otsego,2006,1396,425,45,91,39,250,971,56,312,192,411
Putnam,2006,1476,339,55,99,20,165,1137,103,387,188,459
Queens,2006,52907,17988,3573,5613,318,8484,34919,8956,2847,8693,14423
Rensselaer,2006,3522,1072,193,242,73,564,2450,139,600,462,1249
Richmond,2006,10512,3412,1172,945,13,1282,7100,1840,655,1675,2930
Rockland,2006,4789,1487,364,308,113,702,3302,380,911,809,1202
Saratoga,2006,3959,916,126,185,106,499,3043,171,901,814,1157
Schenectady,2006,4380,1349,351,314,53,631,3031,270,481,870,1410
Schoharie,2006,579,123,22,13,19,69,456,12,142,103,199
Schuyler,2006,380,81,12,11,19,39,299,13,75,61,150
Seneca,2006,760,187,22,31,30,104,573,23,159,108,283
Steuben,2006,2154,623,95,135,85,308,1531,57,419,295,760
St. Lawrence,2006,2842,768,125,141,65,437,2074,88,451,536,999
Suffolk,2006,26360,7527,1424,1777,499,3827,18833,4319,4392,3197,6925
Sullivan,2006,2160,748,141,181,57,369,1412,203,321,312,576
Tioga,2006,813,222,30,38,34,120,591,23,113,139,316
Tompkins,2006,1577,343,45,97,43,158,1234,71,274,383,506
Ulster,2006,5019,1249,230,234,162,623,3770,481,1211,692,1386
Unknown-NonNYS,2006,108,71,9,21,4,37,37,10,3,5,19
Warren,2006,2324,615,48,121,80,366,1709,90,505,333,781
Washington,2006,1498,413,52,82,43,236,1085,57,285,192,551
Wayne,2006,2027,612,116,113,55,328,1415,126,288,344,657
Westchester,2006,18785,6072,1359,1772,265,2676,12713,2357,2296,3674,4386
Wyoming,2006,791,221,35,44,32,110,570,29,175,116,250
Yates,2006,424,109,3,24,20,62,315,14,64,71,166
Albany,2005,10361,3265,778,702,155,1630,7096,792,1421,1987,2896
Allegany,2005,1104,256,21,76,30,129,848,29,268,165,386
Bronx,2005,71772,20674,7587,6274,93,6720,51098,19554,1002,13144,17398
Broome,2005,5473,1630,343,418,135,734,3843,261,571,1363,1648
Cattaraugus,2005,2033,491,59,93,70,269,1542,76,379,381,706
Cayuga,2005,1745,438,78,99,28,233,1307,30,240,409,628
Chautauqua,2005,3972,971,237,204,128,402,3001,157,675,671,1498
Chemung,2005,2584,654,116,144,85,309,1930,161,391,592,786
Chenango,2005,1113,261,15,66,35,145,852,18,235,207,392
